Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2020;Boyacá;San Miguel De Sema;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Miguel De Sema;Poblacion;0;0;0;0;3021,481755695;3021,481755695;0;0;0;0
diciembre 2020;Boyacá;San Miguel De Sema;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Miguel De Sema;Subsidiado;1744;;0;0;1744;0;0;0;0;1744
diciembre 2020;Boyacá;San Miguel De Sema;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2020;Boyacá;San Miguel De Sema;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Miguel De Sema;Contributivo;446;;446;0;446;0;0;0;0;0
diciembre 2020;Boyacá;Almeida;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Almeida;Poblacion;0;0;0;0;1813,488351217;1813,488351217;0;0;0;0
diciembre 2020;Boyacá;Almeida;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Almeida;Subsidiado;1155;;0;0;1155;0;0;0;0;1155
diciembre 2020;Boyacá;Almeida;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2020;Boyacá;Almeida;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Almeida;Contributivo;163;;163;0;163;0;0;0;0;0
diciembre 2020;Boyacá;San Mateo;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Mateo;Poblacion;0;0;0;0;3141,980744690;3141,980744690;0;0;0;0
diciembre 2020;Boyacá;San Mateo;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Mateo;Subsidiado;2598;;0;0;2598;0;0;0;0;2598
diciembre 2020;Boyacá;San Mateo;Excepción;95;;0;95;95;0;0;0;0;0
diciembre 2020;Boyacá;San Mateo;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Mateo;Contributivo;384;;384;0;384;0;0;0;0;0
diciembre 2020;Boyacá;Tununguá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tununguá;Poblacion;0;0;0;0;1581,490436266;1581,490436266;0;0;0;0
diciembre 2020;Boyacá;Tununguá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tununguá;Subsidiado;1279;;0;0;1279;0;0;0;0;1279
diciembre 2020;Boyacá;Tununguá;Excepción;16;;0;16;16;0;0;0;0;0
diciembre 2020;Boyacá;Tununguá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tununguá;Contributivo;91;;91;0;91;0;0;0;0;0
diciembre 2020;Boyacá;Tibaná;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tibaná;Poblacion;0;0;0;0;9151,442290699;9151,442290699;0;0;0;0
diciembre 2020;Boyacá;Tibaná;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tibaná;Subsidiado;6463;;0;0;6463;0;0;0;0;6463
diciembre 2020;Boyacá;Tibaná;Excepción;62;;0;62;62;0;0;0;0;0
diciembre 2020;Boyacá;Tibaná;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tibaná;Contributivo;433;;433;0;433;0;0;0;0;0
diciembre 2020;Boyacá;Motavita;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Motavita;Poblacion;0;0;0;0;5723,463287206;5723,463287206;0;0;0;0
diciembre 2020;Boyacá;Motavita;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Motavita;Subsidiado;3880;;0;0;3880;0;0;0;0;3880
diciembre 2020;Boyacá;Motavita;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2020;Boyacá;Motavita;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Motavita;Contributivo;635;;635;0;635;0;0;0;0;0
diciembre 2020;Boyacá;Soracá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Soracá;Poblacion;0;0;0;0;6089,462045206;6089,462045206;0;0;0;0
diciembre 2020;Boyacá;Soracá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Soracá;Subsidiado;4706;;0;0;4706;0;0;0;0;4706
diciembre 2020;Boyacá;Soracá;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2020;Boyacá;Soracá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Soracá;Contributivo;742;;742;0;742;0;0;0;0;0
diciembre 2020;Boyacá;Sáchica;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Sáchica;Poblacion;0;0;0;0;5697,463119670;5697,463119670;0;0;0;0
diciembre 2020;Boyacá;Sáchica;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Sáchica;Subsidiado;3814;;0;0;3814;0;0;0;0;3814
diciembre 2020;Boyacá;Sáchica;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2020;Boyacá;Sáchica;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Sáchica;Contributivo;472;;472;0;472;0;0;0;0;0
diciembre 2020;Boyacá;Cucaita;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Cucaita;Poblacion;0;0;0;0;3800,476022816;3800,476022816;0;0;0;0
diciembre 2020;Boyacá;Cucaita;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Cucaita;Subsidiado;3030;;0;0;3030;0;0;0;0;3030
diciembre 2020;Boyacá;Cucaita;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2020;Boyacá;Cucaita;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Cucaita;Contributivo;317;;317;0;317;0;0;0;0;0
diciembre 2020;Boyacá;Tuta;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tuta;Poblacion;0;0;0;0;8491,943417145;8491,943417145;0;0;0;0
diciembre 2020;Boyacá;Tuta;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tuta;Subsidiado;4974;;0;0;4974;0;0;0;0;4974
diciembre 2020;Boyacá;Tuta;Excepción;36;;0;36;36;0;0;0;0;0
diciembre 2020;Boyacá;Tuta;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Tuta;Contributivo;1355;;1355;0;1355;0;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;Poblacion;0;0;0;0;6739,957269894;6739,957269894;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;Subsidiado;4867;;0;0;4867;0;0;0;0;4867
diciembre 2020;Boyacá;San Pablo De Borbur;Excepción;60;;0;60;60;0;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;San Pablo De Borbur;Contributivo;564;;564;0;564;0;0;0;0;0
diciembre 2020;Boyacá;Socha;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Socha;Poblacion;0;0;0;0;8114,449950551;8114,449950551;0;0;0;0
diciembre 2020;Boyacá;Socha;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Socha;Subsidiado;3378;;0;0;3378;0;0;0;0;3378
diciembre 2020;Boyacá;Socha;Excepción;191;;0;191;191;0;0;0;0;0
diciembre 2020;Boyacá;Socha;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Socha;Contributivo;4282;;4282;0;4282;0;0;0;0;0
diciembre 2020;Boyacá;Macanal;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Macanal;Poblacion;0;0;0;0;5089,968172789;5089,968172789;0;0;0;0
diciembre 2020;Boyacá;Macanal;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Macanal;Subsidiado;2801;;0;0;2801;0;0;0;0;2801
diciembre 2020;Boyacá;Macanal;Excepción;28;;0;28;28;0;0;0;0;0
diciembre 2020;Boyacá;Macanal;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Macanal;Contributivo;351;;351;0;351;0;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;Poblacion;0;0;0;0;4760,969649137;4760,969649137;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;Subsidiado;4099;;0;0;4099;0;0;0;0;4099
diciembre 2020;Boyacá;Chíquiza;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Chíquiza;Contributivo;251;;251;0;251;0;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;Poblacion;0;0;0;0;23117,854571737;23117,854571737;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;Subsidiado;15139;;0;0;15139;0;0;0;0;15139
diciembre 2020;Boyacá;Moniquirá;Excepción;590;;0;590;590;0;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Moniquirá;Contributivo;6928;;6928;0;6928;0;0;0;0;0
diciembre 2020;Boyacá;Chiquinquirá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Chiquinquirá;Poblacion;0;0;0;0;58145,118969695;58145,118969695;0;0;0;0
diciembre 2020;Boyacá;Chiquinquirá;PPNA;0;;0;0;0;0;0;0;0;0
