Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Excepción;33;;0;33;33;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;3455;3455;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;180;;180;0;180;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2543;;0;0;2543;0;0;0;0;2543
diciembre 2019;Boyacá;Excepción;99;;0;99;99;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;10337;10337;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;307;;307;0;307;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;5392;;0;0;5392;0;0;0;0;5392
diciembre 2019;Boyacá;Excepción;151;;0;151;151;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;6506;6506;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;461;;461;0;461;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3512;;0;0;3512;0;0;0;0;3512
diciembre 2019;Boyacá;Excepción;29;;0;29;29;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4522,000000000;4522,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;397;;397;0;397;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1789;;0;0;1789;0;0;0;0;1789
diciembre 2019;Boyacá;Excepción;64;;0;64;64;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;9961,000000000;9961,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;1796;;1796;0;1796;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;6532;;0;0;6532;0;0;0;0;6532
diciembre 2019;Boyacá;Excepción;47;;0;47;47;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4226;4226;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;268;;268;0;268;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1801;;0;0;1801;0;0;0;0;1801
diciembre 2019;Boyacá;Excepción;102;;0;102;102;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;5085,000000000;5085,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;575;;575;0;575;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3242;;0;0;3242;0;0;0;0;3242
diciembre 2019;Boyacá;Excepción;453;;0;453;453;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;9360;9360;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;3764;;3764;0;3764;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4521;;0;0;4521;0;0;0;0;4521
diciembre 2019;Boyacá;Excepción;2;;0;2;2;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;16612,000000000;16612,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
