Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2018;Boyacá;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;59;;59;0;59;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;1210;;0;0;1210;0;0;0;0;1210
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;1913;1913;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;14;;0;14;14;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;164;;164;0;164;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;2122;;0;0;2122;0;0;0;0;2122
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;3029;3029;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;123;;0;123;123;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;1256;;1256;0;1256;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;4950;;0;0;4950;0;0;0;0;4950
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;6966;6966;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;108;;0;108;108;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;1637;;1637;0;1637;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;6097;;0;0;6097;0;0;0;0;6097
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;8668,000000000;8668,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;109;;0;109;109;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;627;;627;0;627;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;3287;;0;0;3287;0;0;0;0;3287
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;4774,000000000;4774,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;20;;0;20;20;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;532;;532;0;532;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;4765;;0;0;4765;0;0;0;0;4765
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;5167,000000000;5167,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;47;;0;47;47;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;883;;883;0;883;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;6451;;0;0;6451;0;0;0;0;6451
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;15174;15174;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;206;;206;0;206;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;2009;;0;0;2009;0;0;0;0;2009
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;3044,000000000;3044,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;36;;0;36;36;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;513;;513;0;513;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;5475;;0;0;5475;0;0;0;0;5475
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;7543,000000000;7543,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;69;;0;69;69;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;271;;271;0;271;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;1843;;0;0;1843;0;0;0;0;1843
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;2259;2259;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;7;;0;7;7;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;230;;230;0;230;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;668;;0;0;668;0;0;0;0;668
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;1038;1038;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;22;;0;22;22;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;286;;286;0;286;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;5104;;0;0;5104;0;0;0;0;5104
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;7693,000000000;7693,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;663;;0;663;663;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;6408;;6408;0;6408;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;8395;;0;0;8395;0;0;0;0;8395
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;17033,000000000;17033,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;25;;0;25;25;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;273;;273;0;273;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;1544;;0;0;1544;0;0;0;0;1544
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;2215;2215;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;13;;0;13;13;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;379;;379;0;379;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;3450;;0;0;3450;0;0;0;0;3450
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;3758,000000000;3758,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;53;;0;53;53;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;1618;;1618;0;1618;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;10704;;0;0;10704;0;0;0;0;10704
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;15729;15729;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;2027;;0;2027;2027;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;27774;;27774;0;27774;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;29137;;0;0;29137;0;0;0;0;29137
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;68126,000000000;68126,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;611;;0;611;611;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;6948;;6948;0;6948;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;14431;;0;0;14431;0;0;0;0;14431
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;21242,000000000;21242,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;691;;691;0;691;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;1876;;0;0;1876;0;0;0;0;1876
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;3692,000000000;3692,000000000;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;3437;;0;3437;3437;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;82807;;82807;0;82807;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;50884;;0;0;50884;0;0;0;0;50884
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;111799;111799;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;45;;0;45;45;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;155;;155;0;155;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;2200;;0;0;2200;0;0;0;0;2200
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;3767;3767;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;30;;0;30;30;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;314;;314;0;314;0;0;0;0;0
diciembre 2018;Boyacá;Subsidiado;1311;;0;0;1311;0;0;0;0;1311
diciembre 2018;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Poblacion;0;0;0;0;1545;1545;0;0;0;0
diciembre 2018;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2018;Boyacá;Contributivo;142;;142;0;142;0;0;0;0;0
