Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2018;Boyacá;Tununguá;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2018;Boyacá;Tununguá;Contributivo;59;;59;0;59;0;0;0;0;0
diciembre 2018;Boyacá;Tununguá;Subsidiado;1210;;0;0;1210;0;0;0;0;1210
diciembre 2018;Boyacá;Tununguá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Tununguá;Poblacion;0;0;0;0;1913;1913;0;0;0;0
diciembre 2018;Boyacá;Tununguá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Tununguá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Sora;Excepción;14;;0;14;14;0;0;0;0;0
diciembre 2018;Boyacá;Sora;Contributivo;164;;164;0;164;0;0;0;0;0
diciembre 2018;Boyacá;Sora;Subsidiado;2122;;0;0;2122;0;0;0;0;2122
diciembre 2018;Boyacá;Sora;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Sora;Poblacion;0;0;0;0;3029;3029;0;0;0;0
diciembre 2018;Boyacá;Sora;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Sora;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Belén;Excepción;123;;0;123;123;0;0;0;0;0
diciembre 2018;Boyacá;Belén;Contributivo;1256;;1256;0;1256;0;0;0;0;0
diciembre 2018;Boyacá;Belén;Subsidiado;4950;;0;0;4950;0;0;0;0;4950
diciembre 2018;Boyacá;Belén;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Belén;Poblacion;0;0;0;0;6966;6966;0;0;0;0
diciembre 2018;Boyacá;Belén;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Belén;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Muzo;Excepción;108;;0;108;108;0;0;0;0;0
diciembre 2018;Boyacá;Muzo;Contributivo;1637;;1637;0;1637;0;0;0;0;0
diciembre 2018;Boyacá;Muzo;Subsidiado;6097;;0;0;6097;0;0;0;0;6097
diciembre 2018;Boyacá;Muzo;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Muzo;Poblacion;0;0;0;0;8668,000000000;8668,000000000;0;0;0;0
diciembre 2018;Boyacá;Muzo;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;Muzo;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;San Luis De Gaceno;Excepción;109;;0;109;109;0;0;0;0;0
diciembre 2018;Boyacá;San Luis De Gaceno;Contributivo;627;;627;0;627;0;0;0;0;0
diciembre 2018;Boyacá;San Luis De Gaceno;Subsidiado;3287;;0;0;3287;0;0;0;0;3287
diciembre 2018;Boyacá;San Luis De Gaceno;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2018;Boyacá;San Luis De Gaceno;Poblacion;0;0;0;0;4774,000000000;4774,000000000;0;0;0;0
diciembre 2018;Boyacá;San Luis De Gaceno;Sisben I;0;;0;0;0;0;0;0;0;0
