Anio;Codigo Dep;Nombre Dep;Codigo Mun;Nombre Mun;Ubicacion;Cantidad Muestras;IRCA;Nivel de Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05129;CALDAS;RURAL;82;32,2149;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05134;CAMPAMENTO;RURAL;3;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05138;CAÑASGORDAS;RURAL;1;94,3396;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05138;CAÑASGORDAS;RURAL;1;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05147;CAREPA;RURAL;12;69,7917;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05147;CAREPA;RURAL;28;68,9737;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05150;CAROLINA;RURAL;3;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05154;CAUCASIA;RURAL;10;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05154;CAUCASIA;RURAL;4;98,1928;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05172;CHIGORODO;RURAL;24;28,761;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05172;CHIGORODO;RURAL;9;5,614;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05101;CIUDAD BOLIVAR;RURAL;15;40,8849;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05101;CIUDAD BOLIVAR;RURAL;22;53,8243;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05197;COCORNA;RURAL;23;68,8726;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05197;COCORNA;RURAL;53;69,7041;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05206;CONCEPCION;RURAL;5;70,7964;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05206;CONCEPCION;RURAL;8;7,8947;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05209;CONCORDIA;RURAL;17;83,5408;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05240;EBEJICO;RURAL;4;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05240;EBEJICO;RURAL;33;85,2666;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05250;EL BAGRE;RURAL;9;65,1917;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05250;EL BAGRE;RURAL;13;26,5844;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
