Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;3021,481755695;3021,481755695;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1744;;0;0;1744;0;0;0;0;1744
diciembre 2020;Boyacá;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;446;;446;0;446;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;1813,488351217;1813,488351217;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1155;;0;0;1155;0;0;0;0;1155
diciembre 2020;Boyacá;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;163;;163;0;163;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;3141,980744690;3141,980744690;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;2598;;0;0;2598;0;0;0;0;2598
diciembre 2020;Boyacá;Excepción;95;;0;95;95;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;384;;384;0;384;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;1581,490436266;1581,490436266;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1279;;0;0;1279;0;0;0;0;1279
diciembre 2020;Boyacá;Excepción;16;;0;16;16;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;91;;91;0;91;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;9151,442290699;9151,442290699;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;6463;;0;0;6463;0;0;0;0;6463
diciembre 2020;Boyacá;Excepción;62;;0;62;62;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;433;;433;0;433;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;5723,463287206;5723,463287206;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;3880;;0;0;3880;0;0;0;0;3880
diciembre 2020;Boyacá;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;635;;635;0;635;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;6089,462045206;6089,462045206;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;4706;;0;0;4706;0;0;0;0;4706
diciembre 2020;Boyacá;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;742;;742;0;742;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;5697,463119670;5697,463119670;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;3814;;0;0;3814;0;0;0;0;3814
diciembre 2020;Boyacá;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;472;;472;0;472;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;3800,476022816;3800,476022816;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;3030;;0;0;3030;0;0;0;0;3030
diciembre 2020;Boyacá;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;317;;317;0;317;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;8491,943417145;8491,943417145;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;4974;;0;0;4974;0;0;0;0;4974
diciembre 2020;Boyacá;Excepción;36;;0;36;36;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;1355;;1355;0;1355;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;6739,957269894;6739,957269894;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;4867;;0;0;4867;0;0;0;0;4867
diciembre 2020;Boyacá;Excepción;60;;0;60;60;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;564;;564;0;564;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;8114,449950551;8114,449950551;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;3378;;0;0;3378;0;0;0;0;3378
diciembre 2020;Boyacá;Excepción;191;;0;191;191;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;4282;;4282;0;4282;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;5089,968172789;5089,968172789;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;2801;;0;0;2801;0;0;0;0;2801
diciembre 2020;Boyacá;Excepción;28;;0;28;28;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;351;;351;0;351;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;4760,969649137;4760,969649137;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;4099;;0;0;4099;0;0;0;0;4099
diciembre 2020;Boyacá;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;251;;251;0;251;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;23117,854571737;23117,854571737;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;15139;;0;0;15139;0;0;0;0;15139
diciembre 2020;Boyacá;Excepción;590;;0;590;590;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;6928;;6928;0;6928;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;58145,118969695;58145,118969695;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;30478;;0;0;30478;0;0;0;0;30478
diciembre 2020;Boyacá;Excepción;1935;;0;1935;1935;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;28458;;28458;0;28458;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;7820,451649361;7820,451649361;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;6732;;0;0;6732;0;0;0;0;6732
diciembre 2020;Boyacá;Excepción;141;;0;141;141;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;594;;594;0;594;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;2381,484830941;2381,484830941;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1849;;0;0;1849;0;0;0;0;1849
diciembre 2020;Boyacá;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;138;;138;0;138;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;6797,957634466;6797,957634466;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;5841;;0;0;5841;0;0;0;0;5841
diciembre 2020;Boyacá;Excepción;29;;0;29;29;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;565;;565;0;565;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;2843,982419074;2843,982419074;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1720;;0;0;1720;0;0;0;0;1720
diciembre 2020;Boyacá;Excepción;9;;0;9;9;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;396;;396;0;396;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;8056,449590235;8056,449590235;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;4253;;0;0;4253;0;0;0;0;4253
diciembre 2020;Boyacá;Excepción;28;;0;28;28;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;1049;;1049;0;1049;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;3136,980713999;3136,980713999;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;2181;;0;0;2181;0;0;0;0;2181
diciembre 2020;Boyacá;Excepción;26;;0;26;26;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;161;;161;0;161;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;13444,412519705;13444,412519705;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;5217;;0;0;5217;0;0;0;0;5217
diciembre 2020;Boyacá;Excepción;37;;0;37;37;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;2001;;2001;0;2001;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;4306,973879651;4306,973879651;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;2399;;0;0;2399;0;0;0;0;2399
diciembre 2020;Boyacá;Excepción;34;;0;34;34;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;842;;842;0;842;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;3071,980305926;3071,980305926;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;2093;;0;0;2093;0;0;0;0;2093
diciembre 2020;Boyacá;Excepción;47;;0;47;47;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;235;;235;0;235;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;7237,455077581;7237,455077581;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;5312;;0;0;5312;0;0;0;0;5312
diciembre 2020;Boyacá;Excepción;92;;0;92;92;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;516;;516;0;516;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;16151,39405748;16151,39405748;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;11042;;0;0;11042;0;0;0;0;11042
diciembre 2020;Boyacá;Excepción;52;;0;52;52;0;0;0;0;0
diciembre 2020;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Contributivo;1755;;1755;0;1755;0;0;0;0;0
diciembre 2020;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Poblacion;0;0;0;0;2160,486982141;2160,486982141;0;0;0;0
diciembre 2020;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2020;Boyacá;Subsidiado;1570;;0;0;1570;0;0;0;0;1570
diciembre 2020;Boyacá;Excepción;26;;0;26;26;0;0;0;0;0
