Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2021;Boyacá;Subsidiado;1501;;0;0;1501;0;0;0;0;1501
diciembre 2021;Boyacá;Sisben I;0;;0;0;19;0;0;19;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;1;0;0;0;1;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;2174,988735603;2174,988735603;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;139;0;139;0;0;0
diciembre 2021;Boyacá;Excepción;26;;0;26;26;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;348;;348;0;348;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;1505;;0;0;1505;0;0;0;0;1505
diciembre 2021;Boyacá;Sisben I;0;;0;0;14;0;0;14;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;2551,987460784;2551,987460784;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;208;0;208;0;0;0
diciembre 2021;Boyacá;Excepción;21;;0;21;21;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;205;;205;0;205;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;2452;;0;0;2452;0;0;0;0;2452
diciembre 2021;Boyacá;Sisben I;0;;0;0;5;0;0;5;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;3;0;0;0;3;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;3528,982856292;3528,982856292;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;191;0;191;0;0;0
diciembre 2021;Boyacá;Excepción;62;;0;62;62;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;369;;369;0;369;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;4941;;0;0;4941;0;0;0;0;4941
diciembre 2021;Boyacá;Sisben I;0;;0;0;47;0;0;47;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;17;0;0;0;17;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;13461,432910355;13461,432910355;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;785;0;785;0;0;0
diciembre 2021;Boyacá;Excepción;40;;0;40;40;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;1471;;1471;0;1471;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;996;;0;0;996;0;0;0;0;996
diciembre 2021;Boyacá;Sisben I;0;;0;0;2;0;0;2;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;1954,990792817;1954,990792817;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;71;0;71;0;0;0
diciembre 2021;Boyacá;Excepción;8;;0;8;8;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;309;;309;0;309;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;6352;;0;0;6352;0;0;0;0;6352
diciembre 2021;Boyacá;Sisben I;0;;0;0;13;0;0;13;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;3;0;0;0;3;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;9212,954357859;9212,954357859;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;877;0;877;0;0;0
diciembre 2021;Boyacá;Excepción;63;;0;63;63;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;452;;452;0;452;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;1855;;0;0;1855;0;0;0;0;1855
diciembre 2021;Boyacá;Sisben I;0;;0;0;4;0;0;4;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;4;0;0;0;4;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;3735,482298178;3735,482298178;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;196;0;196;0;0;0
diciembre 2021;Boyacá;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;813;;813;0;813;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;14743;;0;0;14743;0;0;0;0;14743
diciembre 2021;Boyacá;Sisben I;0;;0;0;378;0;0;378;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;43;0;0;0;43;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;35041,824196237;35041,824196237;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;3033;0;3033;0;0;0
diciembre 2021;Boyacá;Excepción;281;;0;281;281;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;19423;;19423;0;19423;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;1314;;0;0;1314;0;0;0;0;1314
diciembre 2021;Boyacá;Sisben I;0;;0;0;2;0;0;2;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;1811,491650547;1811,491650547;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;87;0;87;0;0;0
diciembre 2021;Boyacá;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;154;;154;0;154;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;1476;;0;0;1476;0;0;0;0;1476
diciembre 2021;Boyacá;Sisben I;0;;0;0;6;0;0;6;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;2465,987023486;2465,987023486;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;67;0;67;0;0;0
diciembre 2021;Boyacá;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;184;;184;0;184;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;1976;;0;0;1976;0;0;0;0;1976
diciembre 2021;Boyacá;Sisben I;0;;0;0;3;0;0;3;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;3108,485483318;3108,485483318;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;242;0;242;0;0;0
diciembre 2021;Boyacá;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;260;;260;0;260;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;10574;;0;0;10574;0;0;0;0;10574
diciembre 2021;Boyacá;Sisben I;0;;0;0;26;0;0;26;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;16261,418449815;16261,418449815;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;1424;0;1424;0;0;0
diciembre 2021;Boyacá;Excepción;56;;0;56;56;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;1728;;1728;0;1728;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;2341;;0;0;2341;0;0;0;0;2341
diciembre 2021;Boyacá;Sisben I;0;;0;0;4;0;0;4;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;3859,981347105;3859,981347105;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;200;0;200;0;0;0
diciembre 2021;Boyacá;Excepción;20;;0;20;20;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;560;;560;0;560;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;2148;;0;0;2148;0;0;0;0;2148
diciembre 2021;Boyacá;Sisben I;0;;0;0;1;0;0;1;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Poblacion;0;0;0;0;3277,483180735;3277,483180735;0;0;0;0
diciembre 2021;Boyacá;PPNA;0;;0;0;165;0;165;0;0;0
diciembre 2021;Boyacá;Excepción;88;;0;88;88;0;0;0;0;0
diciembre 2021;Boyacá;Contributivo;300;;300;0;300;0;0;0;0;0
diciembre 2021;Boyacá;Subsidiado;2972;;0;0;2972;0;0;0;0;2972
diciembre 2021;Boyacá;Sisben I;0;;0;0;20;0;0;20;0;0
diciembre 2021;Boyacá;Sisben II;0;;0;0;7;0;0;0;7;0
