Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2021;Boyacá;Sativanorte;Subsidiado;1501;;0;0;1501;0;0;0;0;1501
diciembre 2021;Boyacá;Sativanorte;Sisben I;0;;0;0;19;0;0;19;0;0
diciembre 2021;Boyacá;Sativanorte;Sisben II;0;;0;0;1;0;0;0;1;0
diciembre 2021;Boyacá;Sativanorte;Poblacion;0;0;0;0;2174,988735603;2174,988735603;0;0;0;0
diciembre 2021;Boyacá;Sativanorte;PPNA;0;;0;0;139;0;139;0;0;0
diciembre 2021;Boyacá;Sativanorte;Excepción;26;;0;26;26;0;0;0;0;0
diciembre 2021;Boyacá;Sativanorte;Contributivo;348;;348;0;348;0;0;0;0;0
diciembre 2021;Boyacá;Chivor;Subsidiado;1505;;0;0;1505;0;0;0;0;1505
diciembre 2021;Boyacá;Chivor;Sisben I;0;;0;0;14;0;0;14;0;0
diciembre 2021;Boyacá;Chivor;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Chivor;Poblacion;0;0;0;0;2551,987460784;2551,987460784;0;0;0;0
diciembre 2021;Boyacá;Chivor;PPNA;0;;0;0;208;0;208;0;0;0
diciembre 2021;Boyacá;Chivor;Excepción;21;;0;21;21;0;0;0;0;0
diciembre 2021;Boyacá;Chivor;Contributivo;205;;205;0;205;0;0;0;0;0
diciembre 2021;Boyacá;Labranzagrande;Subsidiado;2452;;0;0;2452;0;0;0;0;2452
diciembre 2021;Boyacá;Labranzagrande;Sisben I;0;;0;0;5;0;0;5;0;0
diciembre 2021;Boyacá;Labranzagrande;Sisben II;0;;0;0;3;0;0;0;3;0
diciembre 2021;Boyacá;Labranzagrande;Poblacion;0;0;0;0;3528,982856292;3528,982856292;0;0;0;0
diciembre 2021;Boyacá;Labranzagrande;PPNA;0;;0;0;191;0;191;0;0;0
diciembre 2021;Boyacá;Labranzagrande;Excepción;62;;0;62;62;0;0;0;0;0
diciembre 2021;Boyacá;Labranzagrande;Contributivo;369;;369;0;369;0;0;0;0;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Subsidiado;4941;;0;0;4941;0;0;0;0;4941
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Sisben I;0;;0;0;47;0;0;47;0;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Sisben II;0;;0;0;17;0;0;0;17;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Poblacion;0;0;0;0;13461,432910355;13461,432910355;0;0;0;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;PPNA;0;;0;0;785;0;785;0;0;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Excepción;40;;0;40;40;0;0;0;0;0
diciembre 2021;Boyacá;Santa Rosa De Viterbo;Contributivo;1471;;1471;0;1471;0;0;0;0;0
diciembre 2021;Boyacá;Betéitiva;Subsidiado;996;;0;0;996;0;0;0;0;996
diciembre 2021;Boyacá;Betéitiva;Sisben I;0;;0;0;2;0;0;2;0;0
diciembre 2021;Boyacá;Betéitiva;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Betéitiva;Poblacion;0;0;0;0;1954,990792817;1954,990792817;0;0;0;0
diciembre 2021;Boyacá;Betéitiva;PPNA;0;;0;0;71;0;71;0;0;0
diciembre 2021;Boyacá;Betéitiva;Excepción;8;;0;8;8;0;0;0;0;0
diciembre 2021;Boyacá;Betéitiva;Contributivo;309;;309;0;309;0;0;0;0;0
diciembre 2021;Boyacá;Tibaná;Subsidiado;6352;;0;0;6352;0;0;0;0;6352
diciembre 2021;Boyacá;Tibaná;Sisben I;0;;0;0;13;0;0;13;0;0
diciembre 2021;Boyacá;Tibaná;Sisben II;0;;0;0;3;0;0;0;3;0
diciembre 2021;Boyacá;Tibaná;Poblacion;0;0;0;0;9212,954357859;9212,954357859;0;0;0;0
diciembre 2021;Boyacá;Tibaná;PPNA;0;;0;0;877;0;877;0;0;0
diciembre 2021;Boyacá;Tibaná;Excepción;63;;0;63;63;0;0;0;0;0
diciembre 2021;Boyacá;Tibaná;Contributivo;452;;452;0;452;0;0;0;0;0
diciembre 2021;Boyacá;Tópaga;Subsidiado;1855;;0;0;1855;0;0;0;0;1855
diciembre 2021;Boyacá;Tópaga;Sisben I;0;;0;0;4;0;0;4;0;0
diciembre 2021;Boyacá;Tópaga;Sisben II;0;;0;0;4;0;0;0;4;0
diciembre 2021;Boyacá;Tópaga;Poblacion;0;0;0;0;3735,482298178;3735,482298178;0;0;0;0
diciembre 2021;Boyacá;Tópaga;PPNA;0;;0;0;196;0;196;0;0;0
diciembre 2021;Boyacá;Tópaga;Excepción;19;;0;19;19;0;0;0;0;0
diciembre 2021;Boyacá;Tópaga;Contributivo;813;;813;0;813;0;0;0;0;0
diciembre 2021;Boyacá;Paipa;Subsidiado;14743;;0;0;14743;0;0;0;0;14743
diciembre 2021;Boyacá;Paipa;Sisben I;0;;0;0;378;0;0;378;0;0
diciembre 2021;Boyacá;Paipa;Sisben II;0;;0;0;43;0;0;0;43;0
diciembre 2021;Boyacá;Paipa;Poblacion;0;0;0;0;35041,824196237;35041,824196237;0;0;0;0
diciembre 2021;Boyacá;Paipa;PPNA;0;;0;0;3033;0;3033;0;0;0
diciembre 2021;Boyacá;Paipa;Excepción;281;;0;281;281;0;0;0;0;0
diciembre 2021;Boyacá;Paipa;Contributivo;19423;;19423;0;19423;0;0;0;0;0
diciembre 2021;Boyacá;Pisba;Subsidiado;1314;;0;0;1314;0;0;0;0;1314
diciembre 2021;Boyacá;Pisba;Sisben I;0;;0;0;2;0;0;2;0;0
diciembre 2021;Boyacá;Pisba;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Pisba;Poblacion;0;0;0;0;1811,491650547;1811,491650547;0;0;0;0
diciembre 2021;Boyacá;Pisba;PPNA;0;;0;0;87;0;87;0;0;0
diciembre 2021;Boyacá;Pisba;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2021;Boyacá;Pisba;Contributivo;154;;154;0;154;0;0;0;0;0
diciembre 2021;Boyacá;Pachavita;Subsidiado;1476;;0;0;1476;0;0;0;0;1476
diciembre 2021;Boyacá;Pachavita;Sisben I;0;;0;0;6;0;0;6;0;0
diciembre 2021;Boyacá;Pachavita;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Pachavita;Poblacion;0;0;0;0;2465,987023486;2465,987023486;0;0;0;0
diciembre 2021;Boyacá;Pachavita;PPNA;0;;0;0;67;0;67;0;0;0
diciembre 2021;Boyacá;Pachavita;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2021;Boyacá;Pachavita;Contributivo;184;;184;0;184;0;0;0;0;0
diciembre 2021;Boyacá;Sora;Subsidiado;1976;;0;0;1976;0;0;0;0;1976
diciembre 2021;Boyacá;Sora;Sisben I;0;;0;0;3;0;0;3;0;0
diciembre 2021;Boyacá;Sora;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Sora;Poblacion;0;0;0;0;3108,485483318;3108,485483318;0;0;0;0
diciembre 2021;Boyacá;Sora;PPNA;0;;0;0;242;0;242;0;0;0
diciembre 2021;Boyacá;Sora;Excepción;15;;0;15;15;0;0;0;0;0
diciembre 2021;Boyacá;Sora;Contributivo;260;;260;0;260;0;0;0;0;0
diciembre 2021;Boyacá;Ventaquemada;Subsidiado;10574;;0;0;10574;0;0;0;0;10574
diciembre 2021;Boyacá;Ventaquemada;Sisben I;0;;0;0;26;0;0;26;0;0
diciembre 2021;Boyacá;Ventaquemada;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Ventaquemada;Poblacion;0;0;0;0;16261,418449815;16261,418449815;0;0;0;0
diciembre 2021;Boyacá;Ventaquemada;PPNA;0;;0;0;1424;0;1424;0;0;0
diciembre 2021;Boyacá;Ventaquemada;Excepción;56;;0;56;56;0;0;0;0;0
diciembre 2021;Boyacá;Ventaquemada;Contributivo;1728;;1728;0;1728;0;0;0;0;0
diciembre 2021;Boyacá;Tenza;Subsidiado;2341;;0;0;2341;0;0;0;0;2341
diciembre 2021;Boyacá;Tenza;Sisben I;0;;0;0;4;0;0;4;0;0
diciembre 2021;Boyacá;Tenza;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2021;Boyacá;Tenza;Poblacion;0;0;0;0;3859,981347105;3859,981347105;0;0;0;0
diciembre 2021;Boyacá;Tenza;PPNA;0;;0;0;200;0;200;0;0;0
diciembre 2021;Boyacá;Tenza;Excepción;20;;0;20;20;0;0;0;0;0
diciembre 2021;Boyacá;Tenza;Contributivo;560;;560;0;560;0;0;0;0;0
diciembre 2021;Boyacá;Páez;Subsidiado;2148;;0;0;2148;0;0;0;0;2148
diciembre 2021;Boyacá;Páez;Sisben I;0;;0;0;1;0;0;1;0;0
diciembre 2021;Boyacá;Páez;Sisben II;0;;0;0;2;0;0;0;2;0
diciembre 2021;Boyacá;Páez;Poblacion;0;0;0;0;3277,483180735;3277,483180735;0;0;0;0
diciembre 2021;Boyacá;Páez;PPNA;0;;0;0;165;0;165;0;0;0
diciembre 2021;Boyacá;Páez;Excepción;88;;0;88;88;0;0;0;0;0
